"Product name","Product Code","WHO Product ID","Assay Format","Regulatory Version","Manufacturer name","Pathogen/Disease/Marker","Year prequalification"
"ONE STEP Anti-HIV (1&2) Test","ITPW02232- TC40","0372-017-00","Immunochromatographic (lateral flow)","Rest-of-World","InTec Products, Inc.","HIV","2019"
"Loopamp MTBC Detection Kit","972000","10307-04545-00","NAT (nucleic acid testing)","Regulation (EU) 2017/746: Annex IX Certificate","Eiken Chemical Co., Ltd.","Mycobacterium tuberculosis complex (MTBC)","2025"
"BIOCREDIT Malaria Ag Pf (pLDH)","C14RHH25","13192-160-00","Immunochromatographic (lateral flow)","Rest-of-World","Rapigen, Inc.","Malaria","2026"
