"WHO Reference Number","INN, Dosage Form and Strength","Product Type","Therapeutic Area",Applicant,"Dosage Form","Basis of Listing","Basis of alternative listing","Date of Prequalification"
"BT-ON001","Trastuzumab Powder for concentrate for solution for infusion 150 mg","Biotherapeutic Product","Oncology","Samsung Bioepis NL B.V.","Powder for concentrate for solution for infusion","Prequalification - Abridged",,"18  Dec,  2019"
"BT-ON013","Trastuzumab Powder for concentrate for solution for infusion 150mg","Biotherapeutic Product","Oncology","Biocon Biologics Limited","Powder for concentrate for solution for infusion","Prequalification - Full",,"23  Feb,  2021"
"BT-ON014","Trastuzumab Powder for concentrate for solution for infusion 420mg","Biotherapeutic Product","Oncology","Biocon Biologics Limited","Powder for concentrate for solution for infusion","Prequalification - Full",,"23  Feb,  2021"
"BT-ON017","Benzyl alcohol/Water for Injection Solvent for parenteral use+Trastuzumab Powder for concentrate for solution for infusion   1.1%/20mL+440mg","Biotherapeutic Product","Oncology","Biosimilar Collaborations Ireland Limited","Powder for concentrate for solution for infusion + Solvent for parenteral use","Prequalification - Abridged",,"3  May,  2022"
"BT-ON018","Rituximab concentrate for solution for infusion 100mg/10mL","Biotherapeutic Product","Oncology","Dr Reddy's Laboratories Ltd","concentrate for solution for infusion","Prequalification - Abridged",,"9  Sep,  2025"
"EMA Art 58 H-W-2319-2","Artesunate/Pyronaridine (phosphate) Tablet, Film-coated 60mg/180mg","Finished Pharmaceutical Product","Malaria","Shin Poong Pharmaceutical Co Ltd","Tablet, Film-coated","Alternative Listing","EMA Article 58",
"MA026","Artemether/Lumefantrine Tablet 20mg/120mg","Finished Pharmaceutical Product","Malaria","Novartis Pharma AG","Tablet","Prequalification - Abridged",,"26  Apr,  2004"
"MA051","Artesunate Powder for solution for injection 60mg","Finished Pharmaceutical Product","Malaria","Guilin Pharmaceutical Co., Ltd.","Powder for solution for injection","Prequalification - Full",,"5  Nov,  2010"
"ANDA 077844 USFDA","Abacavir (sulfate) Tablet 300mg","Finished Pharmaceutical Product","HIV/AIDS","Aurobindo Pharma Ltd","Tablet","Alternative Listing","USFDA - PEPFAR",
